model,quality,kodak,psnr,ssim,vif,bpp,mse,mae
bmshj2018-factorized,1,2,36.13,0.9664,1.0058,0.4719,2.44 × 10^-4,1.03 × 10^-2
bmshj2018-factorized,1,3,34.36,0.9491,1.0047,0.5674,3.67 × 10^-4,1.35 × 10^-2
bmshj2018-factorized,1,4,30.67,0.9609,0.9986,0.9811,8.56 × 10^-4,2.08 × 10^-2
bmshj2018-factorized,1,5,31.61,0.9521,1.0049,0.7831,6.91 × 10^-4,1.81 × 10^-2
bmshj2018-factorized,1,6,35.89,0.9771,1.0007,0.5559,2.58 × 10^-4,1.08 × 10^-2
bmshj2018-factorized,1,7,29.38,0.9545,1.0023,1.0238,1.15 × 10^-3,2.4 × 10^-2
bmshj2018-factorized,1,8,35.89,0.9641,1.0017,0.496,2.58 × 10^-4,1.12 × 10^-2
bmshj2018-factorized,1,9,35.7,0.9632,0.9998,0.523,2.69 × 10^-4,1.15 × 10^-2
bmshj2018-factorized,1,10,32.55,0.9508,1.0009,0.7012,5.56 × 10^-4,1.59 × 10^-2
bmshj2018-factorized,1,11,35.97,0.9576,1.0059,0.5176,2.53 × 10^-4,1.13 × 10^-2
bmshj2018-factorized,1,12,26.88,0.926,0.9991,1.1707,2.05 × 10^-3,3.19 × 10^-2
bmshj2018-factorized,1,13,31.57,0.9476,0.9993,0.8308,6.97 × 10^-4,1.87 × 10^-2
bmshj2018-factorized,1,14,34.07,0.9519,0.9998,0.5426,3.92 × 10^-4,1.29 × 10^-2
bmshj2018-factorized,1,15,34.26,0.9559,1.0031,0.5937,3.75 × 10^-4,1.35 × 10^-2
bmshj2018-factorized,1,16,34.44,0.9626,1.0048,0.5379,3.59 × 10^-4,1.24 × 10^-2
bmshj2018-factorized,1,17,30.25,0.942,1.0079,0.8183,9.44 × 10^-4,2.04 × 10^-2
bmshj2018-factorized,1,18,33.12,0.9496,0.9955,0.6463,4.88 × 10^-4,1.56 × 10^-2
bmshj2018-factorized,1,19,34.83,0.9616,0.9977,0.5164,3.29 × 10^-4,1.09 × 10^-2
bmshj2018-factorized,1,20,32.02,0.956,1.0023,0.6954,6.28 × 10^-4,1.65 × 10^-2
bmshj2018-factorized,1,21,32.6,0.9415,1.0077,0.6789,5.5 × 10^-4,1.66 × 10^-2
bmshj2018-factorized,1,22,36.67,0.9686,1.0011,0.4381,2.15 × 10^-4,9.87 × 10^-3
bmshj2018-factorized,1,23,29.75,0.9551,0.9992,0.8201,1.06 × 10^-3,1.93 × 10^-2
bmshj2018-factorized,1,0,33.3,0.9713,0.9999,1.5132,4.68 × 10^-4,1.62 × 10^-2
bmshj2018-factorized,1,1,36.22,0.9597,1.0017,0.8719,2.39 × 10^-4,1.11 × 10^-2
bmshj2018-factorized,1,2,38.4,0.9773,1.0,0.6861,1.45 × 10^-4,8.28 × 10^-3
bmshj2018-factorized,1,3,36.46,0.9652,1.0022,0.8566,2.26 × 10^-4,1.09 × 10^-2
bmshj2018-factorized,1,4,33.76,0.979,0.9992,1.4287,4.2 × 10^-4,1.5 × 10^-2
bmshj2018-factorized,1,5,34.65,0.9725,1.0048,1.2066,3.43 × 10^-4,1.32 × 10^-2
bmshj2018-factorized,1,6,38.08,0.9836,1.0004,0.7788,1.56 × 10^-4,8.7 × 10^-3
bmshj2018-factorized,1,7,32.66,0.9737,1.0003,1.5514,5.43 × 10^-4,1.72 × 10^-2
bmshj2018-factorized,1,8,37.83,0.971,0.9984,0.7128,1.65 × 10^-4,9.41 × 10^-3
bmshj2018-factorized,1,9,37.64,0.9716,0.9997,0.7469,1.72 × 10^-4,9.62 × 10^-3
bmshj2018-factorized,1,10,35.19,0.9692,1.0013,1.0691,3.02 × 10^-4,1.23 × 10^-2
